baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000001167.15	232.971741661518	-0.695707401878364	0.129712316499377	-5.36346447780621	8.16407129303405e-08	8.33217454093674e-07
ENSG00000003137.9	24.1483104775823	-1.72471679880112	0.503371957491578	-3.42632674135402	0.000611803936747635	0.00311193579036413
ENSG00000003249.15	551.369907484292	-0.914958777453186	0.117267933934843	-7.80229297773391	6.07923074612427e-15	1.38049426187191e-13
ENSG00000003509.16	67.8602764598051	-0.796776173874125	0.268364257852942	-2.96901003229253	0.00298760842314226	0.0124998960045532
ENSG00000003989.18	2717.92126988482	-0.923140156935412	0.165285684572631	-5.58511863457695	2.33540735747172e-08	2.54844257014074e-07
ENSG00000005075.16	252.05551618948	-0.553105144443591	0.14540335311264	-3.80393665347673	0.000142414613162685	0.000834993789328693
ENSG00000005100.13	634.54771453265	-0.969435167313725	0.112791734268037	-8.59491321420747	8.3327749679347e-18	2.42757020399567e-16
ENSG00000005156.12	469.826116210838	-0.856067690734871	0.196400802219268	-4.35877899204878	1.30790111171861e-05	9.45203011960726e-05
ENSG00000005381.9	9.31321600201052	-1.76905119120329	0.691700804509236	-2.5575381431838	0.0105415996390584	0.0366327847512126
ENSG00000005801.18	212.893148746104	-0.51162336981764	0.204626003182152	-2.50028521234521	0.0124093356401043	0.0418605600834592
ENSG00000006047.13	21.7844591431531	-1.6176628372932	0.392344052263296	-4.1230721555774	3.73852524459033e-05	0.000248208561567814
ENSG00000006576.17	412.037514438264	-0.510984493698054	0.116341529787978	-4.39210739818599	1.12257219177201e-05	8.2138555180441e-05
ENSG00000006607.14	442.971794323852	-0.88567036597465	0.140356165379909	-6.31016360113116	2.78740655544882e-10	3.87457190013324e-09
ENSG00000006634.8	248.552350711779	-1.49283615361836	0.137009154485903	-10.8958861852692	1.2058687147779e-27	7.12479199183414e-26
ENSG00000006638.13	48.6318156032427	-0.84672929658184	0.294870162675472	-2.87153263965108	0.00408486595500312	0.0163142446064229
ENSG00000006695.12	248.316020749305	-0.631389570066222	0.112077706973582	-5.63349828539095	1.76590274268804e-08	1.96177720366695e-07
ENSG00000006744.19	1060.66075005418	-0.881683491771003	0.103382320862732	-8.52837781560038	1.48414141297036e-17	4.21659951664742e-16
ENSG00000007038.11	57.1548296423687	-1.07271001934079	0.236787844392638	-4.53025797034596	5.89117085380329e-06	4.52997102927775e-05
ENSG00000007062.12	1015.3952382686	-0.928652014379261	0.0803884032828727	-11.5520644328697	7.20682185421793e-31	5.07879632849341e-29
ENSG00000007202.15	2191.61453097524	-0.643383371842342	0.141151313382348	-4.5581111250418	5.16157270284502e-06	4.01989391037621e-05
ENSG00000007376.8	617.129868621054	-1.10806793111357	0.095583734972223	-11.592641064252	4.49068445771328e-31	3.21862153930819e-29
ENSG00000008277.15	70.4724125836967	-2.97467696372027	0.316675611892654	-9.39345138055219	5.80656828294555e-21	2.19631051290005e-19
ENSG00000008282.10	676.548548765768	-0.690269196819784	0.111887468226129	-6.1693164369822	6.85858472665695e-10	9.10736884725311e-09
ENSG00000008311.16	166.908400901356	-1.49099580574765	0.148964619309876	-10.0090599543378	1.39067640538029e-23	6.32168919483589e-22
ENSG00000008405.12	228.023300031805	-0.653725218799832	0.131924003059364	-4.95531672508198	7.22125618935377e-07	6.46275531753126e-06
ENSG00000009335.18	1073.58039497517	-0.571051965774833	0.0802940157297979	-7.11201153142612	1.14363703644782e-12	2.04629920514483e-11
ENSG00000009694.14	19.9264919950762	-1.97657479918334	0.566364530973083	-3.48993394022636	0.000483139960269746	0.00251426115050442
ENSG00000009724.18	15.3562897412807	-1.43217481131698	0.327252667854346	-4.37635793989742	1.20678780617572e-05	8.77660696512175e-05
ENSG00000009830.13	308.853881266219	-0.89153825189318	0.294159256795172	-3.03080127957344	0.00243905716521618	0.0105044338035574
ENSG00000010072.16	183.008472844573	-0.530866673145207	0.18336176354796	-2.89518743097361	0.00378932200012015	0.0152887901392982
ENSG00000010292.13	894.946132493614	-0.652534874621204	0.0787356000970263	-8.28767258796634	1.15485956155878e-16	3.02554017430596e-15
ENSG00000011132.12	94.7885438016553	-0.651023245798476	0.214624353280499	-3.03331488644085	0.00241883060314629	0.0104333664346638
ENSG00000011304.22	3454.54302785054	-0.781378381252578	0.115072721187293	-6.7903007175854	1.11900049934966e-11	1.80391460690687e-10
ENSG00000011426.11	1424.55403484468	-0.525099179883694	0.17781815384204	-2.95301221240972	0.00314689513184673	0.0130537680502073
ENSG00000011451.21	497.925097838433	-0.792512322242464	0.0785527946277654	-10.0889131443115	6.18505188563639e-24	2.91668549575179e-22
ENSG00000011478.13	118.465385468199	-1.08872417146673	0.16283043128175	-6.68624508881197	2.28969439446639e-11	3.56804817035161e-10
ENSG00000011566.15	275.312936783384	-0.614482606360489	0.218081268407389	-2.81767714782637	0.00483724223662489	0.0188593392656173
ENSG00000011677.13	64.7681799669993	-0.754659576202094	0.304771983384016	-2.47614484711744	0.0132809684955338	0.0441631150881539
ENSG00000012660.14	1806.3164004609	-0.867132981466861	0.0609488107287771	-14.2272338229143	6.20895753022854e-46	9.97743882357553e-44
ENSG00000012963.15	234.675054302481	-0.552282862727386	0.175966490676465	-3.13856837517334	0.00169775320787958	0.00763913245614301
ENSG00000013306.16	1264.02874462679	-1.39761619867946	0.0982815658060312	-14.2205324794865	6.83310187628555e-46	1.09109067871397e-43
ENSG00000013523.11	205.641636628419	-0.712076690312342	0.231420357159469	-3.07698380147973	0.00209106663852862	0.00915894448323586
ENSG00000013573.17	463.928859321662	-0.602948744649051	0.223341222067993	-2.6996751386338	0.0069407212944577	0.0257019605956074
ENSG00000014138.10	180.262858020044	-0.985221164676314	0.214337060857698	-4.59659734407955	4.29446385259672e-06	3.40493490060222e-05
ENSG00000015133.20	739.352245587411	-0.536168276718798	0.128107667221511	-4.18529420094511	2.84796995203687e-05	0.000193304906967819
ENSG00000016082.15	6.15512244686336	-1.31990905476118	0.473917140156919	-2.78510512264685	0.00535103718492925	0.0205575326844191
ENSG00000018408.15	305.631312573684	-1.30380281614434	0.20195308030721	-6.45596895160497	1.0752865484454e-10	1.56449851964988e-09
ENSG00000019582.17	183.147172645073	-1.12117061068113	0.146845749747818	-7.63502254989705	2.2578090464587e-14	4.86026147040158e-13
ENSG00000020129.16	327.32905269638	-0.703007086416005	0.117827861494712	-5.96639094945769	2.4255871735463e-09	2.99535676952519e-08
ENSG00000021574.14	248.127539104979	-0.733083858364696	0.184249744473798	-3.97875101785525	6.92782433836811e-05	0.000435974258500097
ENSG00000021776.11	699.32373152928	-0.534240046234086	0.103787903526352	-5.14742111635814	2.64092003122926e-07	2.52665041592275e-06
ENSG00000024526.17	369.082856062352	-0.931816909037529	0.179531882102041	-5.19025867788714	2.10002130883232e-07	2.03149684051115e-06
ENSG00000025156.13	109.289561371481	-0.913322928875961	0.285878627744977	-3.19479261559457	0.00139931352025134	0.00644455655392862
ENSG00000029364.12	1214.76339220773	-0.574720368254486	0.0768203097531189	-7.48135968341565	7.35575501695947e-14	1.50754137549042e-12
